longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.34,38.58,18.0,1631.0,228.0,599.0,228.0,7.8031,267200.0,INLAND
-118.27,34.07,38.0,1270.0,556.0,1692.0,450.0,1.87,170800.0,<1H OCEAN
-118.24,34.07,27.0,223.0,80.0,249.0,82.0,1.6136,137500.0,<1H OCEAN
-119.86,34.38,26.0,1626.0,375.0,1580.0,359.0,2.1471,187500.0,NEAR OCEAN
-118.18,33.9,34.0,1248.0,320.0,1960.0,338.0,3.1012,140400.0,<1H OCEAN
-122.06,37.68,30.0,5367.0,1207.0,2667.0,1047.0,3.1796,170300.0,NEAR BAY
-117.23,33.22,16.0,3224.0,729.0,1036.0,608.0,2.0246,148800.0,<1H OCEAN
-121.92,37.32,39.0,836.0,254.0,704.0,272.0,3.5256,192600.0,<1H OCEAN
-122.05,36.97,16.0,3363.0,611.0,1603.0,556.0,4.2542,294100.0,NEAR OCEAN
-118.38,34.2,32.0,993.0,285.0,1044.0,248.0,2.4306,187500.0,<1H OCEAN
-118.14,34.08,30.0,1433.0,397.0,1110.0,346.0,2.3464,191700.0,<1H OCEAN
-122.04,38.25,37.0,1176.0,291.0,648.0,271.0,2.7167,92200.0,INLAND
-118.35,33.89,29.0,2940.0,708.0,2175.0,684.0,3.6486,229000.0,<1H OCEAN
-118.12,33.79,43.0,1471.0,301.0,767.0,311.0,4.3317,232400.0,<1H OCEAN
-122.12,37.71,38.0,1164.0,284.0,632.0,289.0,3.0345,152100.0,NEAR BAY
-122.79,38.5,18.0,4839.0,918.0,2755.0,841.0,3.75,248300.0,<1H OCEAN
-121.98,37.95,16.0,2984.0,406.0,1317.0,397.0,6.7821,265900.0,INLAND
-122.45,37.71,49.0,2244.0,442.0,1948.0,423.0,4.7639,251500.0,NEAR OCEAN
-121.3,37.92,28.0,3308.0,766.0,3201.0,720.0,1.7694,73900.0,INLAND
-122.12,37.67,33.0,3429.0,681.0,1798.0,694.0,3.9395,184700.0,NEAR BAY
-122.03,37.31,25.0,2131.0,410.0,1132.0,395.0,5.3508,409100.0,<1H OCEAN
-121.53,38.51,20.0,6132.0,1324.0,2595.0,1174.0,3.1607,178900.0,INLAND
-118.42,34.26,26.0,1788.0,521.0,2582.0,484.0,2.1062,136400.0,<1H OCEAN
-119.7,34.47,32.0,3725.0,569.0,1304.0,527.0,7.7261,500001.0,<1H OCEAN
-116.98,34.05,6.0,2290.0,312.0,957.0,274.0,7.2708,316700.0,INLAND
-121.86,37.29,14.0,6160.0,1222.0,2472.0,1204.0,4.1444,178400.0,<1H OCEAN
-120.7,35.76,15.0,1914.0,425.0,1130.0,421.0,2.2165,90600.0,<1H OCEAN
-117.85,34.12,30.0,4367.0,1033.0,2524.0,954.0,3.0448,192100.0,INLAND
-118.36,33.98,40.0,1113.0,234.0,584.0,231.0,3.0927,316000.0,<1H OCEAN
-122.47,37.76,34.0,2807.0,487.0,1152.0,445.0,5.1893,420300.0,NEAR BAY
-117.67,33.46,24.0,3571.0,722.0,1409.0,543.0,4.6518,277800.0,<1H OCEAN
-118.27,34.0,46.0,1748.0,428.0,1707.0,409.0,2.148,103800.0,<1H OCEAN
-118.05,34.08,30.0,1572.0,427.0,1857.0,428.0,2.4914,159200.0,<1H OCEAN
-122.34,40.63,10.0,2183.0,369.0,1061.0,325.0,3.6853,151600.0,INLAND
